지역,지역구,카페명,주소,위도,경도,파일명,red,blue,mono,tone,red(%),blue(%),mono(%)
서서울,은평,스모어,서울 은평구 연서로29길 8-8,37.6189525,126.9196972,ws_ep_01.png,7600,0,7400,warm,50.67,0.0,49.33
서서울,은평,필라멘트카페,서울 은평구 통일로 883,37.6217534,126.9194619,ws_ep_02.png,10700,0,4300,warm,71.33,0.0,28.67
서서울,은평,HUGA,서울 은평구 진관2로 19,37.634753,126.9197743,ws_ep_03.png,1950,7900,5150,cool,13.0,52.67,34.33
서서울,은평,YM Coffee Project,서울 은평구 연서로29길 21-8,37.61909489999999,126.9175418,ws_ep_04.png,11450,0,3550,warm,76.33,0.0,23.67
서서울,은평,카페달력,서울 은평구 연서로18길 28-2,37.6119303,126.9205339,ws_ep_05.png,15000,0,0,warm,100.0,0.0,0.0
서서울,은평,CAFE ASA,서울 은평구 불광천길 338,37.58906810000001,126.9140942,ws_ep_06.png,10600,0,4400,warm,70.67,0.0,29.33
서서울,은평,1인1잔,서울 은평구 연서로 534,37.6190884,126.9235023,ws_ep_07.png,10800,0,4200,warm,72.0,0.0,28.0
서서울,은평,카페뤽상부르,서울 은평구 연서로25길 6-11,37.6172218,126.9181467,ws_ep_08.png,11400,0,3600,warm,76.0,0.0,24.0
서서울,은평,Tamnadoda cafe,서울 은평구 통일로83길 5-14,37.620598,126.9187423,ws_ep_09.png,7000,2350,5650,warm,46.67,15.67,37.67
서서울,은평,북한산제빵소,서울 은평구 진관동 126-11,37.63948120000001,126.9401428,ws_ep_10.png,8600,0,6400,warm,57.33,0.0,42.67
서서울,은평,제이츠 커피 브루어스,서울 은평구 연서로25길 20-3,37.6174221,126.91689440000002,ws_ep_11.png,1850,1150,12000,mono,12.33,7.67,80.0
서서울,은평,슬러프커피,서울 은평구 연서로16길 15-7,37.6097942,126.9184887,ws_ep_12.png,9800,0,5200,warm,65.33,0.0,34.67
서서울,은평,다용도실,서울 은평구 연서로20길 17,37.6140571,126.9198779,ws_ep_13.png,10850,0,4150,warm,72.33,0.0,27.67
서서울,마포,프릳츠 도화점,서울 마포구 새창로2길 17,37.5409755,126.9490468,ws_mp_01.png,2900,0,12100,mono,19.33,0.0,80.67
서서울,마포,피오니,서울 마포구 어울마당로 56,37.5499118,126.9212434,ws_mp_02.png,8800,5100,1100,warm,58.67,34.0,7.33
서서울,마포,앤트러사이트 합정점,서울 마포구 토정로5길 10,37.5458006,126.9183208,ws_mp_03.png,10700,0,4300,warm,71.33,0.0,28.67
서서울,마포,카페부라노,서울 마포구 동교로23길 14,37.5568708,126.9208862,ws_mp_04.png,4150,0,10850,mono,27.67,0.0,72.33
서서울,마포,소복 홍대 본점,서울 마포구 어울마당로 58,37.5500661,126.9212695,ws_mp_05.png,8650,0,6350,warm,57.67,0.0,42.33
서서울,마포,허밍벨라,서울 마포구 독막로7길 57,37.5503215,126.91993490000002,ws_mp_06.png,15000,0,0,warm,100.0,0.0,0.0
서서울,마포,젤라띠젤라띠,서울 마포구 와우산로17길 12,37.5502746,126.9223031,ws_mp_07.png,10450,0,4550,warm,69.67,0.0,30.33
서서울,마포,커피가게동경,서울 마포구 망원로6길 21,37.5559099,126.9035384,ws_mp_08.png,9600,0,5400,warm,64.0,0.0,36.0
서서울,마포,아오이토리,서울 마포구 와우산로29길 8,37.5547393,126.92943909999998,ws_mp_09.png,5550,0,9450,mono,37.0,0.0,63.0
서서울,마포,안티크코코,서울 마포구 독막로 64,37.5475819,126.9204814,ws_mp_10.png,11700,0,3300,warm,78.0,0.0,22.0
서서울,마포,카페 레드빅,서울 마포구 잔다리로6길 5,37.5521037,126.9194429,ws_mp_11.png,9350,0,5650,warm,62.33,0.0,37.67
서서울,마포,카페하이웨스트,서울 마포구 성미산로 167-9,37.5645316,126.9250634,ws_mp_12.png,12850,0,2150,warm,85.67,0.0,14.33
서서울,마포,블랑드티,서울 마포구 양화로 61,37.5507622,126.9150317,ws_mp_13.png,11800,0,3200,warm,78.67,0.0,21.33
서서울,서대문,카페 카페,서울 서대문구 연세로12길 19,37.5590079,126.9381633,ws_sdm_01.png,12350,0,2650,warm,82.33,0.0,17.67
서서울,서대문,호밀밭,서울 서대문구 신촌역로 43,37.55891210000001,126.9406332,ws_sdm_02.png,10750,0,4250,warm,71.67,0.0,28.33
서서울,서대문,매뉴팩트커피,서울 서대문구 연희로11길 29,37.56775800000001,126.9295981,ws_sdm_03.png,5000,0,10000,mono,33.33,0.0,66.67
서서울,서대문,어반앨리스,서울 서대문구 이화여대1길 10,37.5576095,126.94490159999998,ws_sdm_04.png,13900,0,1100,warm,92.67,0.0,7.33
서서울,서대문,waffle it up,서울 서대문구 이화여대3길 42-19,37.5582078,126.9432894,ws_sdm_05.png,8300,0,6700,warm,55.33,0.0,44.67
서서울,서대문,카페페라,서울 서대문구 이화여대8길 2,37.558617,126.9459253,ws_sdm_06.png,10200,0,4800,warm,68.0,0.0,32.0
서서울,서대문,보일링팟,서울 서대문구 연세로 42-22,37.55920820000001,126.9382884,ws_sdm_07.png,4650,0,10350,mono,31.0,0.0,69.0
서서울,서대문,마호가니,서울 서대문구 연희맛로 45,37.5688266,126.9311834,ws_sdm_08.png,13400,0,1600,warm,89.33,0.0,10.67
서서울,서대문,독수리다방,서울 서대문구 연세로 36,37.5587229,126.9372291,ws_sdm_09.png,10750,0,4250,warm,71.67,0.0,28.33
서서울,서대문,하이드미플리즈,서울 서대문구 통일로39나길 5,37.5884239,126.9430865,ws_sdm_10.png,4600,0,10400,mono,30.67,0.0,69.33
서서울,서대문,마이디어스윗,서울 서대문구 세검정로 52-10,37.5919658,126.94650590000002,ws_sdm_11.png,12150,0,2850,warm,81.0,0.0,19.0
서서울,서대문,로열티하우스,서울 서대문구 충정로 71-5,37.5651589,126.9654212,ws_sdm_12.png,10500,0,4500,warm,70.0,0.0,30.0
서서울,서대문,팝컨테이너,서울 서대문구 명물길 70,37.5588248,126.9400516,ws_sdm_13.png,11350,0,3650,warm,75.67,0.0,24.33
서남,강서,고양이똥,서울 강서구 공항대로59가길 13,37.55200470000001,126.8646271,sw_gs_01.png,8200,800,6000,warm,54.67,5.33,40.0
서남,강서,고양이정원,서울 강서구 개화동로19길 18,37.5756508,126.8031032,sw_gs_02.png,10400,0,4600,warm,69.33,0.0,30.67
서남,강서,헤븐온탑 김포공항점,서울 강서구 하늘길 38,37.5667733,126.8025118,sw_gs_03.png,5150,7850,2000,cool,34.33,52.33,13.33
서남,강서,WE Ccafe,서울 강서구 강서로47길 169,37.5534108,126.8267049,sw_gs_04.png,9600,0,5400,warm,64.0,0.0,36.0
서남,강서,아임멍,서울 강서구 마곡서로 158,37.568023,126.825098,sw_gs_05.png,10950,0,4050,warm,73.0,0.0,27.0
서남,강서,카페숨,서울 강서구 공항대로39길 7,37.5585779,126.8433001,sw_gs_06.png,10000,0,5000,warm,66.67,0.0,33.33
서남,강서,하롱하롱,서울 강서구 마곡서로 152,37.5675429,126.8259872,sw_gs_07.png,10700,0,4300,warm,71.33,0.0,28.67
서남,강서,뚜스뚜스,서울 강서구 화곡로 408,37.5595764,126.8547716,sw_gs_08.png,9950,0,5050,warm,66.33,0.0,33.67
서남,강서,요로콘데,서울 강서구 마곡중앙로 161-1,37.5678801,126.8265667,sw_gs_09.png,10100,0,4900,warm,67.33,0.0,32.67
서남,강서,브루드서울,서울 강서구 마곡중앙로 161-11,37.5678801,126.8265667,sw_gs_10.png,8950,0,6050,warm,59.67,0.0,40.33
서남,강서,793 플라워팩토리,서울 강서구 마곡중앙8로 90,37.5608125,126.8376875,sw_gs_11.png,5250,3550,6200,mono,35.0,23.67,41.33
서남,강서,카페소금다방,서울 강서구 공항대로61길 42,37.5526855,126.8663732,sw_gs_12.png,15000,0,0,warm,100.0,0.0,0.0
서남,강서,어느예쁜날,서울 강서구 화곡로26가길 18,37.5408966,126.8395116,sw_gs_13.png,11750,0,3250,warm,78.33,0.0,21.67
