지역구,red,blue,mono,red%,blue%,mono%
강남,135650,1550,57800,0.6956410256410256,0.007948717948717949,0.2964102564102564
강동,133650,2500,58850,0.6853846153846154,0.01282051282051282,0.3017948717948718
강북,137500,4550,52950,0.7051282051282052,0.023333333333333334,0.27153846153846156
강서,126000,12200,56800,0.6461538461538462,0.06256410256410257,0.29128205128205126
관악,130450,0,64550,0.668974358974359,0.0,0.331025641025641
광진,131100,1450,62450,0.6723076923076923,0.007435897435897436,0.3202564102564103
구로,118950,650,75400,0.61,0.0033333333333333335,0.38666666666666666
금천,117800,9900,67300,0.6041025641025641,0.05076923076923077,0.34512820512820513
노원,140100,1100,53800,0.7184615384615385,0.0056410256410256415,0.27589743589743587
도봉,111850,1700,81450,0.5735897435897436,0.008717948717948718,0.4176923076923077
동대문,139150,1300,54550,0.7135897435897436,0.006666666666666667,0.27974358974358976
동작,132450,350,62200,0.6792307692307692,0.0017948717948717949,0.318974358974359
마포,121500,5100,68400,0.6230769230769231,0.026153846153846153,0.3507692307692308
서대문,127900,0,67100,0.6558974358974359,0.0,0.3441025641025641
서초,128950,14900,51150,0.6612820512820513,0.07641025641025641,0.2623076923076923
성동,136550,4900,53550,0.7002564102564103,0.025128205128205128,0.2746153846153846
성북,109300,2150,83550,0.5605128205128205,0.011025641025641025,0.42846153846153845
송파,112800,0,82200,0.5784615384615385,0.0,0.42153846153846153
양천,124750,3700,66550,0.6397435897435897,0.018974358974358976,0.3412820512820513
영등포,139000,750,55250,0.7128205128205128,0.0038461538461538464,0.2833333333333333
용산,105850,4950,84200,0.5428205128205128,0.025384615384615384,0.4317948717948718
은평,117600,11400,66000,0.6030769230769231,0.05846153846153846,0.3384615384615385
종로,102650,6950,85400,0.5264102564102564,0.03564102564102564,0.4379487179487179
중구,107900,4450,82650,0.5533333333333333,0.022820512820512822,0.4238461538461539
중랑,123900,0,71100,0.6353846153846154,0.0,0.3646153846153846
