지역,지역구,카페명,주소,위도,경도,파일명,red,blue,mono,tone,red(%),blue(%),mono(%)
서서울,은평,스모어,서울 은평구 연서로29길 8-8,37.6189525,126.9196972,ws_ep_01.png,303132,16736,139404,red,66.0,3.64,30.35
서서울,은평,필라멘트카페,서울 은평구 통일로 883,37.6217534,126.9194619,ws_ep_02.png,275566,31789,97361,red,68.09,7.85,24.06
서서울,은평,HUGA,서울 은평구 진관2로 19,37.634753,126.9197743,ws_ep_03.png,74956,135169,36581,blue,30.38,54.79,14.83
서서울,은평,YM Coffee Project,서울 은평구 연서로29길 21-8,37.61909489999999,126.9175418,ws_ep_04.png,188820,483,47397,red,79.77,0.2,20.02
서서울,은평,카페달력,서울 은평구 연서로18길 28-2,37.6119303,126.9205339,ws_ep_05.png,183368,3755,33317,red,83.18,1.7,15.11
서서울,은평,CAFE ASA,서울 은평구 불광천길 338,37.58906810000001,126.9140942,ws_ep_06.png,154068,8288,52644,red,71.66,3.85,24.49
서서울,은평,1인1잔,서울 은평구 연서로 534,37.6190884,126.9235023,ws_ep_07.png,174570,16504,87926,red,62.57,5.92,31.51
서서울,은평,카페뤽상부르,서울 은평구 연서로25길 6-11,37.6172218,126.9181467,ws_ep_08.png,479509,9549,104342,red,80.81,1.61,17.58
서서울,은평,Tamnadoda cafe,서울 은평구 통일로83길 5-14,37.620598,126.9187423,ws_ep_09.png,100917,28578,54897,red,54.73,15.5,29.77
서서울,은평,북한산제빵소,서울 은평구 진관동 126-11,37.63948120000001,126.9401428,ws_ep_10.png,272468,34764,74758,red,71.33,9.1,19.57
서서울,은평,제이츠 커피 브루어스,서울 은평구 연서로25길 20-3,37.6174221,126.91689440000002,ws_ep_11.png,68736,48377,139773,mono,26.76,18.83,54.41
서서울,은평,슬러프커피,서울 은평구 연서로16길 15-7,37.6097942,126.9184887,ws_ep_12.png,267116,951,116308,red,69.49,0.25,30.26
서서울,은평,다용도실,서울 은평구 연서로20길 17,37.6140571,126.9198779,ws_ep_13.png,189850,2766,67784,red,72.91,1.06,26.03
서서울,마포,프릳츠 도화점,서울 마포구 새창로2길 17,37.5409755,126.9490468,ws_mp_01.png,93272,22771,289690,mono,22.99,5.61,71.4
서서울,마포,피오니,서울 마포구 어울마당로 56,37.5499118,126.9212434,ws_mp_02.png,259865,141746,54743,red,56.94,31.06,12.0
서서울,마포,앤트러사이트 합정점,서울 마포구 토정로5길 10,37.5458006,126.9183208,ws_mp_03.png,148004,27506,68650,red,60.62,11.27,28.12
서서울,마포,카페부라노,서울 마포구 동교로23길 14,37.5568708,126.9208862,ws_mp_04.png,161145,64031,200246,mono,37.88,15.05,47.07
서서울,마포,소복 홍대 본점,서울 마포구 어울마당로 58,37.5500661,126.9212695,ws_mp_05.png,110250,495,36505,red,74.87,0.34,24.79
서서울,마포,허밍벨라,서울 마포구 독막로7길 57,37.5503215,126.91993490000002,ws_mp_06.png,331828,1140,37855,red,89.48,0.31,10.21
서서울,마포,젤라띠젤라띠,서울 마포구 와우산로17길 12,37.5502746,126.9223031,ws_mp_07.png,210882,84871,181321,red,44.2,17.79,38.01
서서울,마포,커피가게동경,서울 마포구 망원로6길 21,37.5559099,126.9035384,ws_mp_08.png,364450,303,116826,red,75.68,0.06,24.26
서서울,마포,아오이토리,서울 마포구 와우산로29길 8,37.5547393,126.92943909999998,ws_mp_09.png,266161,66990,184769,red,51.39,12.93,35.68
서서울,마포,안티크코코,서울 마포구 독막로 64,37.5475819,126.9204814,ws_mp_10.png,322052,128,65810,red,83.01,0.03,16.96
서서울,마포,카페 레드빅,서울 마포구 잔다리로6길 5,37.5521037,126.9194429,ws_mp_11.png,297272,10610,198374,red,58.72,2.1,39.18
서서울,마포,카페하이웨스트,서울 마포구 성미산로 167-9,37.5645316,126.9250634,ws_mp_12.png,349298,0,50125,red,87.45,0.0,12.55
서서울,마포,블랑드티,서울 마포구 양화로 61,37.5507622,126.9150317,ws_mp_13.png,238398,54004,74888,red,64.91,14.7,20.39
서서울,서대문,카페 카페,서울 서대문구 연세로12길 19,37.5590079,126.9381633,ws_sdm_01.png,176190,3087,32477,red,83.21,1.46,15.34
서서울,서대문,호밀밭,서울 서대문구 신촌역로 43,37.55891210000001,126.9406332,ws_sdm_02.png,259489,21373,38738,red,81.19,6.69,12.12
서서울,서대문,매뉴팩트커피,서울 서대문구 연희로11길 29,37.56775800000001,126.9295981,ws_sdm_03.png,138379,46457,204924,mono,35.5,11.92,52.58
서서울,서대문,어반앨리스,서울 서대문구 이화여대1길 10,37.5576095,126.94490159999998,ws_sdm_04.png,271637,1461,12187,red,95.22,0.51,4.27
